Číslo	CODE	NAME	LAT	LON	RAW_DATA	ELE	TWI	SLP	HLI	No_trees	First_Y	Last_Y	AGE	SOIL	GROUP	RESPONSIBLE
1	C004009PCAB	CZE_STR_0904	50,377695	12,550922	C004009PCAB	692,140015	1,646003	23,171574	0,34959	23	1972	2019	47	acid	CZU	dusatko@fld.czu.cz
2	C004031PCAB	CZE_LDM_2326	49,397804	15,02486	C004031PCAB	665,030029	3,254363	1,964653	0,660501	22	1943	2019	76	moderate	CZU	dusatko@fld.czu.cz
3	C004051PCAB	CZE_KRM_0323	50,8354	14,685635	C004051PCAB	608,51001	3,033957	9,098705	0,743268	23	1941	2019	78	moderate	CZU	dusatko@fld.czu.cz
4	C004052PCAB	CZE_VSB_3419	48,604226	14,265599	C004052PCAB	800,440002	2,346285	13,262474	0,790944	24	1938	2019	81	acid	CZU	dusatko@fld.czu.cz
5	C004056PCAB	CZE_LVC_0828	50,477193	15,253301	C004056PCAB	310,269989	2,101691	13,197374	0,769218	25	1939	2019	80	acid	CZU	dusatko@fld.czu.cz
7	C004058PCAB	CZE_KRP_B080	50,696858	13,842396	C004058PCAB	541,869995	2,557849	12,208128	0,725213	23	1928	2019	91	moderate	CZU	dusatko@fld.czu.cz
8	C004062PCAB	CZE_OBO_H020	49,815898	12,524288	C004062PCAB	677,150024	3,69197	2,773614	0,665537	26	1935	2018	83	moderate	CZU	dusatko@fld.czu.cz
9	C004066PCAB	CZE_BRN_M070	49,104077	13,717624	C004066PCAB	798,090027	3,045191	8,040159	0,52286	24	1929	2019	90	moist	CZU	dusatko@fld.czu.cz
10	C004067PCAB	CZE_MLN_P110	48,673298	14,59948	C004067PCAB	764,960022	3,378622	6,164215	0,54847	24	1902	2019	117	acid	CZU	dusatko@fld.czu.cz
11	C004071PCAB	CZE_JZR_Q211	50,836832	15,335804	C004071PCAB	890,650024	3,521886	5,898318	0,669118	23	1964	2019	55	acid	CZU	dusatko@fld.czu.cz
12	C004072PCAB	CZE_LSU_Q251	50,292542	16,390279	C004072PCAB	926,419983	3,009452	2,874828	0,671135	26	1926	2019	93	acid	CZU	dusatko@fld.czu.cz
13	C004073PCAB	CZE_STH_Q401	49,453368	18,400618	C004073PCAB	671,460022	2,540127	9,667904	0,504471	25	1939	2019	80	moderate	CZU	dusatko@fld.czu.cz
14	C004074PCAB	CZE_LZK_Q521	50,043146	12,625662	C004074PCAB	877,630005	2,519126	8,975781	0,568445	22	1899	2019	120	acid	CZU	dusatko@fld.czu.cz
15	C004075PCAB	CZE_NVB_Q561	49,263841	15,700752	C004075PCAB	640,330017	3,552878	2,878174	0,672695	24	1947	2019	72	moderate	CZU	dusatko@fld.czu.cz
16	C004236PCAB	CZE_SJ_009	49,161271	13,194075	C004236PCAB	1159,47998	2,914355	9,360174	0,647001	29	1929	2013	84	extreme	CZU	cada@fld.czu.cz
17	C004237PCAB	CZE_SJ_008	49,167613	13,18965	C004237PCAB	1249,819946	1,117634	40,289288	0,729293	36	1845	2013	168	acid	CZU	cada@fld.czu.cz
18	C004238PCAB	CZE_SB_003	48,992278	13,82125	C004238PCAB	1303,51001	1,950344	22,265617	0,721783	38	1856	2013	157	acid	CZU	cada@fld.czu.cz
